	ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT4G09975.1	83	111	210	238	160.529881918486	1.33500554529206	0.32790850719629	4.07127450491215	4.67566106562923e-05	0.000725415062388	0.0026671895990552	68.0
transcript:AT5G01095.1	124	99	237	215	169.075803932069	1.15483903014586	0.323484050651203	3.57000299650342	0.0003569771443088	0.0043288607729411	0.0159162568134964	87.0
transcript:AT5G02155.1	51	32	417	357	219.636392546961	3.35913884429249	0.340511104054928	9.86499061055768	5.90399727631042e-23	5.19059760542291e-21	1.90846711956734e-20	12.0
transcript:AT5G02515.1	6	10	42	48	26.8476348571989	2.61912560127889	0.739877136505566	3.53994666418401	0.0004002079039134	0.0047979470298719	0.0176409824918228	88.0
transcript:AT5G03615.1	2	5	628	396	268.580364281471	7.34203450065254	0.632061261781366	11.6160172195337	3.4169726222833603e-31	4.50613264563618e-29	1.6568046002296399e-28	8.0
transcript:AT5G40348.1	0	2	32	22	14.5150381829568	4.90018815321831	1.3627846949104	3.59571704284549	0.0003234992804987	0.003968508615421	0.0145913221983112	86.0
transcript:AT5G06695.3	50	46	191	202	123.58725488618	2.16348073766383	0.362765604624876	5.96385299510691	2.4635839785160403e-09	8.12212842917008e-08	2.98632570395742e-07	32.0
transcript:AT5G07015.1	141	130	619	467	345.429800356868	2.14534713659866	0.281892495056534	7.61051526458128	2.7300532035917402e-14	1.4401030648946399e-12	5.29493818836618e-12	20.0
transcript:AT5G07885.1	292	369	644	912	552.140169372863	1.3543493255934	0.242489734715505	5.58518209928496	2.33455464615461e-08	6.65663554511653e-07	2.44749661417128e-06	37.0
transcript:AT5G08725.1	0	0	38	11	12.9973900580203	7.22923657013904	1.77388275372776	4.07537451669059	4.59403500392709e-05	0.0007233890939019	0.0026597405642139	67.0
transcript:AT5G63195.1	1206	1061	2462	2337	1769.95055562812	1.21632402551086	0.193996757854084	6.26981625345371	3.6147441168578e-10	1.36198394403035e-08	5.00771158188979e-08	28.0
transcript:AT5G09565.1	81	147	591	561	350.604897391215	2.47125656828396	0.302266690089813	8.17574893068659	2.94033699817237e-16	1.72336418503992e-14	6.33642623106147e-14	18.0
