ID of mobile RNA producing gene	  direction				   condition			tissue					 binomial  mobility score (max of  transcript isoforms)	total degree of penetrance across all datasets [log2(alt read count/ref read count)] (max of all transcript isoforms)	FPKM (mean across replicates)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N	-P	root	rosette	lower stem	upper stem	flower			 Cr*Cs	 CrCs*	 PrPs*	 Pr*Ps	  Cr*Ps	  PrCs*	  Cr*Ps -N	  Cr*Ps -P	  Pr*Cs	  CrPs*	  CrPs* -N	  CrPs* -P	 Pr*Cs FN_root	 PrCs* FN_rosette	 PrCs* FN_stemLower	 PrCs* FN_stemUpper	 PrCs* FN_flower																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G56940		COL to PED	shoot to root		FN			True					0.000460059	-1.485426827	2.187474633	146.8486484	93.43839605	1.446836043	1.886851266	129.168402	1.641630995	0.836005691	2.235923291	149.6268275	133.5652178	124.3318873	1.519926006	129.3300783	167.7817466	130.7848727	94.29281772																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G57000		COL to PED	shoot to root		FN			True					3.62707E-08	-6.851749041	26.50402729	24.44326685	37.72488601	43.44025307	30.78988245	24.59464143	23.79828986	21.56170655	36.10254925	26.7658963	27.9753558	22.05560923	46.27804142	30.54567851	38.3622371	34.80186091	41.30242567																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G57280		COL to PED	shoot to root		FN			True					4.18596E-09	-7.540192631	29.05821054	36.48729862	52.57269462	56.41950584	36.871211	39.72578483	38.88223676	35.76761871	30.35900409	48.1325602	21.69732961	28.40885609	54.33368726	112.7591418	74.02421224	65.16414754	56.25647925																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G57660		COL to PED		root to shoot	FN								8.97627E-10	-4.969626351	40.13332629	33.96013758	15.9768848	24.5990487	44.08419961	32.89504062	41.15392767	33.71636566	61.15599494	39.24566158	47.9808039	32.58429153	29.8564442	11.59334028	17.58477668	14.78209852	17.41540301																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58030		COL to PED	shoot to root		FN								2.5092E-08	-5.263034406	18.1363343	13.2500606	2.489723697	4.648361913	16.619815	13.61628373	17.12938724	13.73815148	16.87174565	15.34061254	16.59377661	12.72179368	7.851170702	4.577232051	4.934066385	5.203782168	7.159631309																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58040		COL to PED	shoot to root		FN								2.57724E-09	-6.028695433	71.25721123	41.03769871	24.14591093	56.96120771	64.66450621	30.62870354	54.84038052	46.00117093	63.76928148	27.30963511	31.54964914	26.52259875	53.15231558	20.4282096	24.02906687	25.32362518	27.22497304																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58050		COL to PED	shoot to root		FN								2.73629E-12	-4.916476644	49.16589283	35.69000803	12.0211165	19.17492957	48.50383392	32.2001938	42.68533691	35.63661115	40.52660718	30.49285283	32.84237416	20.54352681	17.94737561	11.43854583	14.45518885	14.15321461	15.21980403																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58110		COL to PED	shoot to root		FN								3.09974E-07	-5.070389328	25.80550382	18.33920086	1.619130465	6.381465913	25.38275254	14.66548631	25.23847385	21.58062123	23.11230413	17.04346776	21.61087521	15.91175009	14.51676917	5.32960442	8.415514324	9.145030728	12.04497594																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58530		COL to PED		root to shoot	FN								3.8563E-05	-4.201633861	31.03074665	17.52962951	14.22506053	16.13709123	19.86007352	16.54270877	15.97125865	15.65434714	25.34323227	17.21850591	20.58607287	19.03753565	20.75447306	17.30294182	17.17354185	16.59544958	17.34442778																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G58680	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				2.60306E-06	-7.980796163	93.69520667	108.0263553	254.4086533	262.9369293	80.59928633	85.88835314	72.53736653	64.31319785	90.03996796	92.84131594	111.9499336	111.5991471	213.518461	253.4372233	219.9680066	233.3149211	231.9446537																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G59290	PED to COL			root to shoot	FN				True				1.18372E-09	-4.201633861	28.41309639	28.46772139	11.09023924	20.921689	27.44157126	24.87162755	29.08803541	28.59975648	29.00399703	23.55384411	29.35002036	24.28650045	18.24117765	7.444833211	9.512136674	9.429818862	16.15768146																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G59780		COL to PED	shoot to root		FN			True					1.99313E-06	-3.537965021	7.039500925	99.83743476	171.2225725	4.782193568	7.009710294	98.50654553	6.157743866	4.958471964	9.658471868	87.54869277	180.2024709	145.8840438	5.557443693	71.68887599	85.07062857	73.77215618	62.35475984																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G59920	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				7.1328E-07	-7.682508712	122.5323663	133.9227531	121.3437615	236.8333111	156.4632234	123.874751	174.110976	162.9719194	141.5087867	129.0065587	120.8552175	101.7118236	182.1815252	121.287359	147.0841889	140.229979	157.993059																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G59940		COL to PED		root to shoot	FN								6.59291E-08	-6.266786541	41.94946683	124.4823545	85.31948408	10.82502548	8.511280745	36.86899771	2.039777304	3.111690475	7.699470799	117.9256413	65.68912115	30.50283897	7.194335779	24.99816479	34.35464073	67.51306783	74.16277682																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G60140		COL to PED	shoot to root		FN			True					0.001268134	-3.26812163	420.0337436	223.2963529	0.719781413	19.961948	51.78493853	67.99638223	56.78011892	30.60115312	66.8746414	37.93593521	3.262655712	16.13836949	36.41608158	5.635501993	20.46557684	105.2780423	225.3385645																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G60450	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True				1.34941E-06	-7.90717061	46.14500166	26.62298594	41.99298191	96.07923333	47.64682693	20.96604431	81.82144952	76.58211548	56.92649209	44.44970107	14.57970357	23.04546253	135.3619763	45.47506243	39.42958341	37.07456833	52.45195872																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G60690		COL to PED	shoot to root		FN			True					1.39339E-07	-6.381462839	20.23749294	68.10052842	41.65110584	31.66493293	17.57006058	42.88890968	11.77781781	9.846090623	24.46220448	29.26641188	29.10568151	24.08706047	55.79329887	155.0800462	95.68465801	109.5764648	50.70996682																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G60860	PED to COL		shoot to root				-P						4.82466E-08	-6.022367813	74.70120987	47.80169146	16.695047	43.81129898	74.16936643	47.24115047	95.84772469	78.65763492	67.78067826	58.39554837	51.40246732	38.89256468	47.6588216	17.98255004	21.52206982	19.34563634	22.59095293																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61130	PED to COL	COL to PED	shoot to root	root to shoot	FN			True		True			8.46622E-08	-6.542190056	47.52470223	61.54935792	60.3331247	74.21355305	72.70686693	71.82062882	68.85789642	77.20735778	75.82207326	69.6229914	72.76606899	78.21818398	58.92265159	37.24015869	57.58208283	48.6330493	61.91990767																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61220		COL to PED		root to shoot		-N							8.44684E-10	-6.009628701	4.284299284	17.79513192	7.030332123	4.97362035	8.638398355	14.2143	6.926929008	6.7350989	24.50739499	25.82714823	50.38450953	41.04378324	27.95179119	19.57225346	18.62651096	21.24282962	14.83580972																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61430		COL to PED	shoot to root		FN			True					5.14508E-08	-6.710314466	97.039109	37.48554943	6.464926193	63.3727528	91.11360787	29.09138657	39.69642245	70.18257622	68.75751518	15.00877677	15.47229079	11.81544336	66.74263313	26.12734415	27.20402008	44.21263505	39.88265644																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61440		COL to PED	shoot to root		FN			True					1.27324E-07	-5.809500194	46.95497556	121.9518126	24.93686894	29.82060822	50.21947255	89.08051071	90.29229093	80.38343088	41.53925179	120.5374948	129.6459399	118.0324386	44.87545501	89.15290138	77.93054458	70.80411888	59.77530162																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61470	PED to COL	COL to PED	shoot to root	root to shoot	FN		-P	True		True	True		0.000679039	-7.485847787	6.001486117	808.2661459	4503.693345	8.653739978	3.211345003	764.7127067	5.092770955	2.459642288	3.736660253	1003.111902	741.9171295	820.296532	7.174682333	1635.681055	1630.053887	1373.978412	825.6767578																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61540		COL to PED	shoot to root		FN			True					6.31864E-08	-4.392317423	16.34313949	15.74535032	17.3497802	16.59839046	17.48709887	15.85884374	15.45965868	14.39025484	14.16723159	16.69847315	18.82469169	14.70039661	17.74271301	25.82765167	18.13491677	19.61169343	18.20399436																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61580	PED to COL	COL to PED	shoot to root		FN			True					1.25287E-07	-6.390707357	53.61168963	127.1819655	124.8299709	82.97112169	103.9595128	151.3462659	75.88516907	107.1770064	78.40937862	153.8153326	123.6907978	123.7322483	50.84534188	137.6014366	129.0911624	118.5352482	136.4472875																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G61600	PED to COL			root to shoot	FN							True	8.49692E-09	-4.8008999	21.00319741	16.81037312	1.87892483	4.161220494	13.67862388	11.74774541	10.56175105	8.639038257	10.80149681	10.18119861	13.40599143	8.674862479	8.641608147	7.693024376	9.201706775	10.53881468	12.30967508																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62250	PED to COL	COL to PED	shoot to root	root to shoot	FN			True	True	True		True	3.22246E-07	-9.331026395	148.4182086	239.9471343	595.7208763	724.7669019	214.8710562	197.5278988	135.8253203	149.5070069	290.1673282	218.2277664	110.2034355	104.7992511	536.9511199	565.7299128	656.6845562	560.3612902	664.4599848																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62290	PED to COL	COL to PED	shoot to root	root to shoot	FN	-N	-P	True	True	True			6.71649E-05	-7.430835518	452.8790519	192.838624	57.31510196	210.7479838	393.4965554	174.934156	128.2758642	135.0750235	509.0066595	244.838876	294.8994832	189.7223491	387.9271211	275.1326528	218.5216037	175.5202285	122.651128																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62360		COL to PED	shoot to root		FN								2.25367E-08	-5.887525271	89.85452226	71.31933001	38.82542945	78.34709045	119.0770184	72.83829137	125.9383891	128.861032	90.72653859	85.1997345	78.15203596	72.86986151	59.41105601	30.66346597	39.38695623	35.56623835	51.12700461																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62370		COL to PED		root to shoot		-N							4.76966E-09	-3.807354922	11.7226779	20.75711056	47.96446806	37.47865775	18.34790356	16.84761564	12.65080704	16.43591025	21.59727957	34.40384191	15.13144984	21.70465537	24.24007574	25.76940337	20.20789081	16.5326903	18.61214717																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62410	PED to COL	COL to PED	shoot to root	root to shoot	FN		-P	True			True		0.000174219	-7.283747555	1.256695254	256.8324427	956.7424593	2.638160981	0.503422297	204.461435	0.650387739	0.94885598	2.655779496	153.2617279	185.9711546	220.6161831	5.945772293	914.2462953	530.1129894	475.7795178	258.0514369																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62580		COL to PED	shoot to root		FN			True					5.77103E-07	-8.001877287	41.38646627	68.15317523	116.5730129	99.92892599	62.21586362	66.58693788	80.37135696	68.178174	68.72118019	78.36124184	69.58625538	87.83228355	124.7170483	132.2640093	108.2382953	131.3134388	112.3326463																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62680	PED to COL	COL to PED	shoot to root		FN	-N	-P	True					3.86945E-07	-4.805558476	9.001066367	0.105449738	0.062299024	145.3615455	22.26013154	0.176015716	16.83190918	27.06801696	9.83929221	0.02097591	0	0.044448109	51.92042006	0.079210173	0.31234958	0.386019789	0.220036848																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G62750		COL to PED		root to shoot	FN								7.6253E-09	-5.263034406	0.639897291	26.97696966	79.83735558	3.629839753	0.83939188	18.71851971	0.620002863	0.476983835	3.477607644	39.990096	87.41091017	75.38063575	2.945125321	28.65258063	21.49702737	17.12923729	14.45252376																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G63010		COL to PED	shoot to root		FN			True					2.58851E-10	-6.827819025	83.05625485	39.78765691	6.414383988	60.57669382	80.51199797	24.82384054	84.88873612	86.82904542	73.08534129	40.30235603	26.31703594	41.20630734	89.52929409	28.41943277	19.83851271	34.64329724	35.80713134																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
AT3G63070		COL to PED	shoot to root		FN								3.59433E-08	-5.666756592	72.4662295	56.58186761	16.97809458	27.6199789	59.30493707	44.55565785	80.74183033	65.66085808	61.31195478	43.47921069	58.16338872	43.47391507	33.93642127	12.28287954	18.20762504	17.66315581	23.1937419																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
