WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at2g10606	0	3	4	1	2.01161195368389	0.724170668890186	2.35565412635077	0.307418080094816	0.75852516812962	0.950670363942787	1	87
transcript:at2g05605	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g05615	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g05815	1	0	3	1	1.25771573176827	1.96721705449035	2.97730478863036	0.660737544238902	0.508780642063896	0.950670363942787	1	45
transcript:at2g16145	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g06665	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g07195	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at2g19425	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g07205	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g07315	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g22496	0	3	0	0	0.755814113086076	-3.06552620049978	4.15435985196578	-0.737905792886289	0.46057169852684	0.950670363942787	1	37.5
transcript:at2g22668	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at2g07895	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g23347	2	4	1	2	2.2494104500698	-1.05848065459811	2.07350628944395	-0.510478632250477	0.609716180750621	0.950670363942787	1	61
transcript:at2g07915	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g07910	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g24103	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g08015	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g08035	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g25011	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g25095	1	7	4	2	3.51281593768469	-0.442804793796615	1.73401032348753	-0.255364566057498	0.798441535898281	0.950670363942787	1	124
transcript:at2g25171	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g26211	1	1	3	2	1.7464330786629	1.28110008638541	2.34493536336502	0.546326396198406	0.58484159479893	0.950670363942787	1	56
transcript:at2g28056	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g08235	28	25	45	40	34.420412461151	0.633926806495345	0.558517577366936	1.13501675181633	0.256368299569903	0.950670363942787	1	16
transcript:at2g08275	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g32273	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g32698	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g08555	16	13	8	9	11.5510057199516	-0.823708390776278	0.936876697284553	-0.879206829632669	0.379289142052304	0.950670363942787	1	25
transcript:at2g34202	0	2	4	2	1.99645322518781	1.55946141425789	2.3609196704731	0.660531331820108	0.508912918839556	0.950670363942787	1	46
transcript:at2g34204	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g34208	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g08855	2	0	2	0	1.02285431373944	-0.0178347693046682	3.36608398710801	-0.00529837323518212	0.995772529577746	0.99873305114663	1	148.5
transcript:at2g38325	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g39175	1	0	0	0	0.256672524020085	-1.50244803351832	4.99583519685547	-0.300740111375974	0.763612679420479	0.950670363942787	1	90
transcript:at2g09080	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g39885	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g09120	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g09150	2	1	0	0	0.765283085735529	-3.08182167645165	3.77612604920691	-0.816133157710378	0.414423981489857	0.950670363942787	1	29.5
transcript:at2g40805	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g41616	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g09340	15	10	20	20	16.2001470782331	0.626484068399855	0.800380195826215	0.782733095679796	0.433783863096831	0.950670363942787	1	33
transcript:at2g09670	4	0	0	2	1.5002487144789	-1.10193268024068	2.88664476834876	-0.381734771220573	0.702658106012944	0.950670363942787	1	82
transcript:at2g46255	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at2g46685	5	2	3	5	3.73539914003644	0.127998553145015	1.61750520058855	0.0791333178393745	0.936926582794992	0.996730407228715	1	141
transcript:at2g47015	34	36	26	32	31.9971935221832	-0.32494022434291	0.572398341183304	-0.567681981172708	0.570250928872848	0.950670363942787	1	53
transcript:at2g47275	0	0	1	0	0.254754632849634	1.43041503375873	4.99110434712189	0.286592892930315	0.774424056884161	0.950670363942787	1	103.5
transcript:at2g47585	0	0	0	2	0.473558618398557	2.34459024542489	4.89591452623857	0.478887086949654	0.632018957858112	0.950670363942787	1	74
transcript:at2g09995	0	0	1	2	0.728313251248191	2.96234701433116	3.84768539340695	0.76990364633428	0.441357050789285	0.950670363942787	1	34
transcript:at3g04765	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at3g09285	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g10745	0	2	2	2	1.48694395948854	0.960166099854573	2.64387259320377	0.363166554365266	0.716480470207498	0.950670363942787	1	84
transcript:at3g11435	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g13405	4	5	6	17	7.84015633804267	1.28346811514334	1.17942894044225	1.08821148195845	0.276501757028277	0.950670363942787	1	18
transcript:at3g13724	1	1	1	0	0.763365194565078	-1.02146774289601	3.5840251647605	-0.285005739619093	0.775639744636166	0.950670363942787	1	106.5
transcript:at3g14385	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at3g03235	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g03245	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g03255	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g03625	0	4	7	4	3.73815181752599	1.43187666941614	1.788797504029	0.800468843561697	0.423439208074267	0.950670363942787	1	32
transcript:at3g18217	4	10	3	11	6.91490677277489	-0.0695238547297839	1.25515172498571	-0.0553907972604471	0.955827127305496	0.99873305114663	1	142
transcript:at3g18827	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g18895	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g22886	9	7	4	3	5.80297543904465	-1.23869034483261	1.32301725569034	-0.936261669683413	0.349138478142167	0.950670363942787	1	23
transcript:at3g23125	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at3g23326	3	0	2	0	1.27952683775952	-0.604738530142762	3.06915945058542	-0.197037182290224	0.843798440840893	0.966181420810183	1	131
transcript:at3g04655	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g26812	2	2	0	0	1.01722112343089	-3.49287306224307	3.35482555369141	-1.0411489379529	0.297806429873564	0.950670363942787	1	19
transcript:at3g26813	0	0	0	1	0.236779309199278	1.37714715697552	4.9948116307562	0.275715534194634	0.7827665633774	0.950670363942787	1	110.5
transcript:at3g26815	0	0	2	0	0.509509265699268	2.44055271379472	4.88883675171286	0.499209287963981	0.617631952051234	0.950670363942787	1	70.5
transcript:at3g26816	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g26818	0	0	0	3	0.710337927597835	2.92913401590407	4.25849707484367	0.687832811535181	0.491558071096039	0.950670363942787	1	43.5
transcript:at3g26819	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g05515	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g05985	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g06345	124	104	145	104	119.59341881873	0.0840305237453501	0.343993388399555	0.24427947332449	0.807014379915186	0.950670363942787	1	125
transcript:at3g06445	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g06595	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g44444	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g07065	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g07095	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g07515	0	2	0	0	0.503876075390718	-2.48060859400872	4.89318198290591	-0.506952041161479	0.612188469457418	0.950670363942787	1	65
transcript:at3g07685	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g07695	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g07755	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g48057	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g48201	0	2	0	1	0.740655384589996	-1.05286732747829	3.90566248061315	-0.26957458118936	0.78748755785501	0.950670363942787	1	115.5
transcript:at3g08150	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g51375	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g08285	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g53015	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g53016	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g55512	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at3g55734	0	3	0	0	0.755814113086076	-3.06552620049978	4.15435985196578	-0.737905792886289	0.46057169852684	0.950670363942787	1	37.5
transcript:at3g59884	5	3	1	0	2.29393136603614	-3.03745392261559	2.4122729336265	-1.25916677183341	0.207970100715242	0.950670363942787	1	13
transcript:at3g09515	1	0	0	1	0.493451833219364	-0.0742746184602439	4.64126395698055	-0.0160031015578274	0.987231917327128	0.99873305114663	1	146
transcript:at3g09615	7	4	0	6	4.2251356741177	-0.968279809852409	1.69504000723598	-0.571243041886271	0.567834905466617	0.950670363942787	1	52
transcript:at3g61897	4	8	1	1	3.53372833969212	-2.63128056111849	1.84249635471304	-1.42810625073302	0.153261278634728	0.950670363942787	1	6
transcript:at3g63375	9	8	5	6	7.02000603718748	-0.68198289148298	1.18447470396288	-0.575768219617761	0.564771857234023	0.950670363942787	1	51
transcript:at4g00885	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g04095	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g04125	733	972	1590	1304	1146.84481817339	0.720757244743512	0.202941956960167	3.55154377901747	0.000382978274664959	0.0574467411997439	0.124467939266112	1
transcript:at4g03039	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g04365	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g03438	1	1	0	0	0.508610561715444	-2.49286692387437	4.47349155262586	-0.557253075041821	0.577354531556226	0.950670363942787	1	55
transcript:at4g03445	16	6	8	13	10.7345566928812	-0.13181568689381	1.00453044555971	-0.131221196407207	0.895600328630409	0.974466952256151	1	136
transcript:at4g03455	0	0	0	0	0	NA	NA	NA	1	1	1	238
transcript:at4g04825	0	1	0	0	0.251938037695359	-1.4889087282958	4.99680329447386	-0.297972251567804	0.765724342199757	0.950670363942787	1	97
transcript:at4g04835	0	0	0	2	0.473558618398557	2.34459024542489	4.89591452623857	0.478887086949654	0.632018957858112	0.950670363942787	1	74
transcript:at4g05105	0	0	0	0	0	NA	NA	NA	1	1	1	238
