WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04447.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G06265.1	8	28	17	31	20.1959334935535	0.42335127411398	0.796511666838892	0.531506683127606	0.595067711353724	0.999461769492062	1	649
transcript:AT1G06265.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G06265.3	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04453.1	0	1	0	0	0.229705086155938	-1.43360219696878	4.99148991296172	-0.287209274578728	0.773952085268391	1	1	1141
transcript:AT1G04463.1	87	81	77	68	77.9087677876122	-0.238716048432265	0.409538839695542	-0.582889888074428	0.559967428243634	0.999461769492062	1	588
transcript:AT1G04467.1	338	363	280	299	316.887889400046	-0.301442341205413	0.244606914604221	-1.23235412904477	0.217816828063212	0.999461769492062	1	164
transcript:AT1G04473.1	15	30	8	23	18.3632767821027	-0.561865474183203	0.8187908500461	-0.686213670013006	0.49257837875393	0.999461769492062	1	486
transcript:AT1G04477.1	51	50	65	77	60.0111867896887	0.458558712644081	0.448527532472365	1.0223646921214	0.306608325091463	0.999461769492062	1	255
transcript:AT1G04483.1	17	5	11	4	9.53353319750359	-0.604436901608008	1.15100188182405	-0.52513980311668	0.599486008056892	0.999461769492062	1	699
transcript:AT1G04487.1	409	463	483	452	447.203711929093	0.0827474063960754	0.229351590433676	0.360788456882336	0.718257592517678	0.999461769492062	1	979
transcript:AT1G04493.1	19	6	12	13	12.651689465274	-0.0797810388823446	0.976083953994804	-0.0817358369183572	0.934856779949846	0.999461769492062	1	1490
transcript:AT1G04497.1	4	8	11	6	7.16448679233889	0.526868879091729	1.22275348541825	0.430887243728863	0.666550359153669	1	1	890
transcript:AT1G04503.1	955	1093	972	1251	1051.91990298747	0.0890507507073327	0.195572012408478	0.455334838613506	0.648868366126085	0.999461769492062	1	860
transcript:AT1G04507.1	8	14	18	9	12.1368400254036	0.317314291482065	0.962186968779142	0.32978444083969	0.741562844703846	0.999461769492062	1	1014
transcript:AT1G04513.1	88	93	83	102	90.3771679213835	0.000685937617214023	0.376417047830647	0.00182228095450829	0.998546030965654	0.999461769492062	1	1649
transcript:AT1G04523.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04533.1	2	1	1	0	1.03078800498514	-1.6072120182862	3.25216272373971	-0.494197909149528	0.621166416246109	1	1	766.5
transcript:AT1G04537.1	130	122	142	158	136.700298583304	0.218001108704422	0.325782719380673	0.66916105654361	0.503392745334091	0.999461769492062	1	509
transcript:AT1G04557.1	2	0	0	0	0.541849427320739	-2.57641244038388	4.88481558899932	-0.527432897607435	0.597893003264969	1	1	676.5
transcript:AT1G07119.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07119.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07119.3	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07119.4	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07119.5	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04563.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07128.1	94	125	117	118	111.878094583242	0.0890208836927349	0.34685777272883	0.256649528111715	0.797449337340717	0.999461769492062	1	1243
transcript:AT1G04567.1	10	12	9	18	11.9735461196217	0.25558364613775	0.94796674528633	0.269612459939775	0.787458413577144	0.999461769492062	1	1230
transcript:AT1G04573.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04577.1	0	0	1	1	0.491163298484602	2.41952833257009	4.64406797397233	0.520993307188941	0.602371433739058	1	1	707.5
transcript:AT1G04583.1	2	0	2	2	1.52417602428994	0.888572993486035	2.67487956570696	0.332191775987936	0.739744453317722	1	1	1011
transcript:AT1G04587.1	38	35	27	45	35.7709627192068	-0.0671836683272199	0.574592605601688	-0.116924004368048	0.906920275886718	0.999461769492062	1	1438
transcript:AT1G04593.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04597.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04603.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04607.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04623.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07728.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G07728.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04643.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04643.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04647.1	188	245	260	149	209.169841307999	-0.0752818902437328	0.336400304614692	-0.223786629236141	0.822923334457632	0.999461769492062	1	1293
transcript:AT1G04653.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G08592.1	14	15	26	36	22.3280661139454	1.06255007209235	0.708641932671689	1.49941743933551	0.133765372194497	0.999461769492062	1	93
transcript:AT1G08592.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04657.1	6	9	2	4	5.13908026828716	-1.34767667652136	1.44119060676286	-0.935113419555548	0.349729851457075	1	1	306
transcript:AT1G04667.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04673.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04677.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04683.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04687.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04693.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04697.1	6	3	6	5	5.0297135243615	0.238431797006553	1.43398595804747	0.166272058431593	0.867942854085103	1	1	1377
transcript:AT1G09421.1	91	91	73	57	77.7013556610417	-0.504364616574851	0.41471727752614	-1.21616494876575	0.223922093103227	0.999461769492062	1	176
transcript:AT1G04703.1	0	0	2	0	0.518466983016915	2.4910360266529	4.88712828364826	0.509713656379269	0.610252084130563	1	1	731.5
