ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G05423.1	24	13	12	16	15.5607828930653	-0.233686037778076	0.622298251444597	-0.37552096158972	0.707273060073604	0.99376608161118	1	161
transcript:AT1G05427.1	26	16	17	20	19.0607654320774	-0.0155964231156496	0.546790608335629	-0.0285235753465543	0.977244565269442	0.994941598221685	1	245
transcript:AT1G05433.1	10	9	5	14	9.15371863851069	0.136575908122645	0.864160027399128	0.158044695186491	0.874421579602168	0.994941598221685	1	220
transcript:AT1G19373.1	3	1	0	1	1.14179225887484	-1.82409006054918	3.31829764053428	-0.549706583962578	0.582520640267455	0.99376608161118	1	117
transcript:AT1G19376.1	0	0	1	0	0.270585384080884	1.6530628823245	4.9887800600553	0.331356135653368	0.740375493752707	0.99376608161118	1	169
transcript:AT1G20015.1	1	2	2	0	1.24756002483282	-0.394365262175175	3.09588180640796	-0.127383823684388	0.898636618766374	0.994941598221685	1	224
transcript:AT1G05563.1	13	26	21	21	20.0034577069901	0.246427312398401	0.556210507669054	0.443046848271745	0.657731849182511	0.99376608161118	1	144
transcript:AT1G05907.1	0	1	0	0	0.244409428937833	-1.34521552935649	4.9874734092336	-0.269718837370844	0.787376567341956	0.99376608161118	1	188
transcript:AT1G05917.1	16	12	6	0	8.03755183246546	-1.99633798241723	1.80155560534399	-1.10811899255036	0.267810429598937	0.99376608161118	1	56
transcript:AT1G26233.1	0	3	3	2	2.03432770615785	0.843413561249446	2.39367291778729	0.352351215148098	0.72457488354169	0.99376608161118	1	165
transcript:AT1G05993.1	3	0	0	0	0.652711196386155	-2.79111406640819	4.86079448324065	-0.57420943757889	0.565826083683863	0.99376608161118	1	113.5
transcript:AT1G05997.1	5	3	0	0	1.82108028079042	-4.26732188356918	2.81499158500964	-1.51592704798603	0.129537800071725	0.99376608161118	1	24
transcript:AT1G06033.1	5	5	6	5	5.15676961090565	0.300231657962157	1.202227451644	0.24972949798443	0.802796544714921	0.99376608161118	1	200
transcript:AT1G06087.1	1	1	0	0	0.461979827733218	-2.2865632464972	4.89227486387603	-0.467382416180438	0.64022630074185	0.99376608161118	1	137
transcript:AT1G29071.1	4	3	1	5	3.09745343383018	-0.0927004755496138	1.72072000293231	-0.0538730737084717	0.957036289570119	0.994941598221685	1	234
transcript:AT1G06233.1	25	21	16	31	22.4860447629497	0.178436517916143	0.509826631966914	0.349994501518554	0.726342824156903	0.99376608161118	1	166
transcript:AT1G06237.1	33	19	28	20	24.2934257353483	0.0653624317971279	0.49571079214555	0.131855978995786	0.895098208200616	0.994941598221685	1	222
transcript:AT1G06243.1	30	26	27	34	28.506398027158	0.279741723670449	0.442986379966036	0.631490574703214	0.527719810070495	0.99376608161118	1	105
transcript:AT1G06247.1	16	14	16	17	15.3916423015144	0.297605714329388	0.61328903500687	0.485261756434393	0.62749067993496	0.99376608161118	1	131
