WT_AGO1.1	WT_AGO1.2	ago1.1	ago1.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G70518.1	95	80	121	94	96.1495466293692	0.0237976414389654	0.389363485837533	0.0611193455590115	0.951264162423915	0.995480276045138	1	233
transcript:AT1G70581.1	10	16	37	11	17.6739677796562	0.64614971770937	0.897385439155954	0.720035883708024	0.471502902154423	0.805674861933771	1	122
transcript:AT1G09277.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G09583.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G77138.1	13	27	10	17	16.5481381284435	-0.787032885763999	0.876950264663649	-0.897465817021975	0.369470405778939	0.677822825034439	1	108
transcript:AT1G78865.1	66	67	65	56	63.2110783837071	-0.398523261690904	0.450904615173582	-0.88383052264277	0.376787706972239	0.683656045640351	1	111
transcript:AT1G09837.1	31	55	23	29	34.3673910421979	-0.954763521099879	0.613352802174269	-1.55663024235863	0.119558299308652	0.350704344638713	0.704273106865029	64
transcript:AT1G09843.1	64	71	91	67	71.9205433458804	-0.0301923448950853	0.429890633680586	-0.0702326185536729	0.94400851256566	0.995480276045138	1	232
transcript:AT1G79075.1	2	11	7	8	6.66430085880916	0.025139179719248	1.37214980084489	0.0183210169208703	0.985382761201441	0.99670899983594	1	243
transcript:AT1G79075.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT1G09903.1	30	70	50	44	47.1937431200631	-0.304354638959487	0.545954907017226	-0.557472119121156	0.577204903124559	0.8375439598366	1	146
transcript:AT1G09923.1	2	1	1	2	1.51403326870965	-0.297756846141732	2.65718340846457	-0.1120573179831	0.910777959524166	1	1	222
transcript:AT2G01422.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G01422.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G04705.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G05518.1	22	42	11	16	22.8860929935076	-1.46941662731662	0.757678768721225	-1.93936624329151	0.0524567579100843	0.225180229077435	0.470861850764328	42
transcript:AT2G05995.1	14	10	4	10	9.75517402723563	-1.05876758128954	1.14084930484388	-0.928052089609175	0.353380550142394	0.677822825034439	1	102
transcript:AT2G06002.1	22	24	49	45	33.5650425812029	0.773781108364205	0.607862782740777	1.27295358481288	0.203034512843462	0.476454323472656	0.947282293434532	80
transcript:AT2G06562.1	0	2	0	0	0.489496777671243	-2.57607084916338	4.90229490748011	-0.525482635741215	0.599247721240707	1	1	150.5
transcript:AT2G07042.1	72	110	799	674	379.948713250962	2.77527273346151	0.240257094494823	11.5512623645805	7.27440272155074e-31	1.28029487899293e-28	2.74244982602463e-28	1
transcript:AT2G10537.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G05685.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G14878.1	697	695	1060	1066	855.576093500335	0.347341694262541	0.173679213585765	1.99990365623701	0.0455106682844707	0.200246940451671	0.418476144957207	41
transcript:AT2G15128.1	40	43	44	36	40.3954723821054	-0.311891355809625	0.55441526824566	-0.562559102667835	0.573735147395117	0.8375439598366	1	144
transcript:AT2G15292.1	378	394	198	294	319.370051298897	-0.910225728729729	0.255902503136917	-3.55692389707781	0.00037522279857229	0.00366884514159573	0.0078588330589863	18
transcript:AT2G15555.1	4	0	0	0	1.18581752043267	-3.82879723139026	3.81132034628994	-1.0045855198494	0.315096472641148	1	1	94
transcript:AT2G18440.2	14	27	14	3	14.5800292611052	-1.49616566407139	1.00155003892369	-1.493850138211	0.135214793386068	0.377742914856317	0.760835479202205	67
transcript:AT2G18440.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G18735.1	100	100	102	81	95.3234442673049	-0.391415689717734	0.379324294267377	-1.03187614300769	0.30213014332794	0.625587120302558	1	93
transcript:AT2G19796.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G21188.1	20	56	208	142	98.4212958591608	1.99057014514625	0.444877246065698	4.47442561459368	7.66169929134154e-06	0.000100701543493199	0.000215707283505317	13
transcript:AT2G07405.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G07575.1	0	0	1	0	0.224551780923405	1.18321089284256	4.99726510796943	0.236771687568792	0.812833917117249	1	1	202
transcript:AT2G22482.1	20	26	12	37	23.3459173495547	-0.15433043837404	0.782727733337269	-0.197170014298626	0.843694495107617	0.980159736305238	1	208
transcript:AT2G07975.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G24735.1	2	2	1	5	2.4365181656467	0.325479956142189	2.16851404089559	0.150093543322305	0.880690813963008	1	1	216
transcript:AT2G08135.1	27	32	23	17	24.8414145461402	-0.814042560232358	0.703237801407115	-1.15756371259271	0.247042124884998	0.543492674746995	1	88
transcript:AT2G27400.1	85	126	180	164	133.505835644907	0.464727106143973	0.325083953235937	1.42956027671623	0.152843263341118	0.406586991517319	0.82186146116645	70
transcript:AT2G08205.1	3	6	15	13	8.66298838896217	1.40906161581064	1.19693405304946	1.17722577298284	0.239105404351363	0.533734059072099	1	86
transcript:AT2G08330.1	247	247	124	171	200.1524857254	-1.00661620656017	0.291073845720397	-3.45828462900483	0.000543626725560329	0.0047839151849309	0.0102473637768122	20
transcript:AT2G30115.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G30945.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G30945.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G30945.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G31585.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G31585.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G08475.1	150	198	771	553	390.987190757654	1.68027319723552	0.237587412849544	7.0722315508338	1.52461734569945e-12	5.36665305686207e-11	1.14956147865739e-10	5
transcript:AT2G31902.1	44	58	79	67	60.1151053177731	0.270271931410627	0.460039976579707	0.587496620228612	0.556870219690952	0.8375439598366	1	137
transcript:AT2G31902.2	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G31902.3	0	0	0	0	0	NA	NA	NA	1	1	1	312
transcript:AT2G31902.4	0	2	2	5	2.06816118635377	1.64695129274344	2.52484546311083	0.652297860128931	0.51420904022373	1	1	129
transcript:AT2G31902.5	104	85	62	102	88.6001202749771	-0.479034302365256	0.424002710438976	-1.12979066069956	0.258564444445372	0.561819039782537	1	89
transcript:AT2G32795.1	35	27	38	58	38.6199833007314	0.354760161345559	0.591747978986349	0.599512248361634	0.548831344748717	0.8375439598366	1	135
transcript:AT2G08610.1	14	7	3	3	7.21499189423535	-2.11034865141182	1.35509114009522	-1.55734812882294	0.119387854346029	0.350704344638713	0.704273106865029	63
transcript:AT2G08745.1	1	5	4	5	3.54796429481561	0.397776813674455	1.81732693820643	0.218880161467828	0.826743400629501	1	1	205
transcript:AT2G36307.1	30	58	25	23	33.8988123742405	-1.09902533332778	0.621148887765591	-1.76934283385939	0.0768366793355315	0.277617203498911	0.583232732918877	49
transcript:AT2G08915.1	46	51	122	91	74.0723940006579	0.877944103516811	0.428613046089611	2.0483373325348	0.0405269573662524	0.182890884524626	0.381966573176929	40
transcript:AT2G08915.2	349	441	781	598	521.867036316991	0.554188298967111	0.205834937140348	2.69239180999307	0.00709415483657868	0.0416190417079282	0.0891498791130054	30
transcript:AT2G09000.1	2	3	8	8	4.93086552904759	1.43660591775895	1.56117654323319	0.920207214223024	0.35746448507458	0.677822825034439	1	104
transcript:AT2G09035.1	0	0	0	0	0	NA	NA	NA	1	1	1	312
