WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT2G15128.1	40	43	47	43	43.0698104853377	0.0748126252665548	0.511105360216834	0.146374174661005	0.883626013347377	0.977839680860975	1	215
transcript:AT2G15292.1	378	394	376	476	402.338340033227	0.0853706767298802	0.189983980853637	0.449357237101214	0.653173974288669	0.977839680860975	1	141
transcript:AT2G15555.1	4	0	0	0	1.1096496726294	-3.61564526145623	3.74213764751106	-0.966197826491238	0.333945200280782	0.977839680860975	1	48
transcript:AT2G18440.2	14	27	16	12	17.0042782316313	-0.553058770868394	0.81827902064307	-0.675880423322787	0.499116567997038	0.977839680860975	1	89
transcript:AT2G18440.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G18735.1	100	100	125	123	111.454166938192	0.261658352162415	0.328836840374888	0.795708752900415	0.426201338165394	0.977839680860975	1	69
transcript:AT2G19796.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G21188.1	20	56	25	21	29.7368168996146	-0.711376784510304	0.660026863090214	-1.07779974466444	0.281123133529984	0.977839680860975	1	38
transcript:AT2G07405.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G07575.1	0	0	2	0	0.521545984972501	2.48132129750136	4.88627855802797	0.507814130535936	0.611583699122404	0.977839680860975	1	125.5
transcript:AT2G22482.1	20	26	27	14	21.7651801187116	-0.176671260095352	0.739282964410732	-0.238976506426295	0.811123800153572	0.977839680860975	1	194
transcript:AT2G07975.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G24735.1	2	2	0	0	1.01425451709796	-3.49525563558385	3.50993354536502	-0.99581818014744	0.319338495301059	0.977839680860975	1	45
transcript:AT2G08135.1	27	32	25	27	27.5384655608542	-0.225324451040424	0.629394114298783	-0.358002157823578	0.72034169872375	0.977839680860975	1	153
transcript:AT2G27400.1	85	126	114	173	121.838046128142	0.399510305535429	0.325150332155681	1.22869413322372	0.219186506673541	0.977839680860975	1	28
transcript:AT2G08205.1	3	6	8	14	7.50018534496527	1.25194556281096	1.22498338682347	1.02201023807956	0.306776054788268	0.977839680860975	1	41
transcript:AT2G08330.1	247	247	237	254	245.18382333058	-0.0612703035293721	0.231961144991158	-0.264140373732453	0.791671754545206	0.977839680860975	1	187
transcript:AT2G30115.1	0	0	0	3	0.686458951768596	2.89307064443037	4.53197043928081	0.638369266347084	0.523233332293411	0.977839680860975	1	99
transcript:AT2G30945.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G30945.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G30945.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G31585.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G31585.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G08475.1	150	198	168	189	174.152177820257	-0.00179732502939909	0.262783786019958	-0.00683955831758428	0.994542864562786	0.99678481497999	1	238
transcript:AT2G31902.1	44	58	26	68	47.8694411863685	-0.187550674391602	0.532524585201092	-0.352191578762094	0.724694592053478	0.977839680860975	1	156
transcript:AT2G31902.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G31902.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G31902.4	0	2	0	0	0.459429680783257	-2.36729676203187	4.90212593214193	-0.482912270064329	0.629158029187405	0.977839680860975	1	130.5
transcript:AT2G31902.5	104	85	47	93	81.9132110733331	-0.520908324720323	0.417273291825293	-1.24836248790737	0.211898339860491	0.977839680860975	1	27
transcript:AT2G32795.1	35	27	42	65	41.7374782988233	0.707319881468703	0.538909487688885	1.31250218752326	0.189350748441317	0.977839680860975	1	23
transcript:AT2G08610.1	14	7	11	19	12.7078540154942	0.408567177098873	0.958154046466982	0.426410741159409	0.669808575952592	0.977839680860975	1	145
transcript:AT2G08745.1	1	5	1	4	2.60203821495987	-0.282111768018115	2.04218021731693	-0.138142444837097	0.890127841200402	0.977839680860975	1	217
transcript:AT2G36307.1	30	58	34	32	37.8343438508325	-0.425861450633089	0.559367221595755	-0.761327146446296	0.446461690142014	0.977839680860975	1	73
transcript:AT2G08915.1	46	51	50	23	42.7779296830829	-0.425516004230637	0.565145949024404	-0.75293117638938	0.451491272477468	0.977839680860975	1	75
transcript:AT2G08915.2	349	441	294	222	325.586400771457	-0.639405678237488	0.230577302064044	-2.77306427178114	0.0055531151868182	0.44239817654985	0.697841475143487	3
transcript:AT2G09000.1	2	3	5	4	3.46311292227897	0.828506913861549	1.73676006083085	0.477041666576096	0.633332451725775	0.977839680860975	1	133
transcript:AT2G09035.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G09045.1	22	16	13	13	16.1432150057129	-0.615425184013152	0.833985036234036	-0.737933125026057	0.460555088452919	0.977839680860975	1	81
transcript:AT2G39675.1	91	128	111	148	117.459140075672	0.200120249310977	0.319975371448903	0.625423914361904	0.531692870664581	0.977839680860975	1	102
transcript:AT2G39681.1	198	248	233	352	253.201563469091	0.337952996169811	0.237106800775102	1.42531970852393	0.154064805623687	0.977839680860975	1	16
transcript:AT2G09155.1	0	0	1	0	0.260772992486251	1.46339320213728	4.98628570454126	0.293483624655621	0.769152514353569	0.977839680860975	1	169.5
transcript:AT2G09215.1	26	30	28	49	32.617974752342	0.39630242403874	0.593811260133303	0.667387856454213	0.504524420603959	0.977839680860975	1	92
transcript:AT2G41312.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G41312.1	0	1	0	0	0.229714840391629	-1.45149300576055	4.99064283381827	-0.290842894210892	0.771171477849738	0.977839680860975	1	174
transcript:AT2G09365.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G42388.1	1	0	2	0	0.798958403129851	0.950059894662412	3.96305906781594	0.239728926166623	0.81054040888126	0.977839680860975	1	193
transcript:AT2G42425.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G42485.1	68	51	58	58	58.9758745930683	-0.102626300679566	0.457087507720192	-0.224522217182073	0.822350981345906	0.977839680860975	1	197
transcript:AT2G09395.1	166	209	191	193	188.030697184624	-0.00282591318351601	0.255331339768355	-0.0110676315178535	0.991169487966152	0.99678481497999	1	235
transcript:AT2G09400.1	38	39	53	50	44.7625017965007	0.374294977645682	0.50278199365563	0.74444785686189	0.456605575662117	0.977839680860975	1	79
transcript:AT2G43375.1	63	67	72	101	74.7543168187049	0.353091242209122	0.395110229525845	0.893652494476926	0.371507850214488	0.977839680860975	1	56
transcript:AT2G09475.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G44995.1	38	29	44	51	40.3472161107977	0.434375368433883	0.538775605872209	0.806226866434839	0.420112050247826	0.977839680860975	1	67
transcript:AT2G45023.1	3	0	0	0	0.83223725447205	-3.20036481163708	4.19621405551083	-0.762679112480949	0.445654790448719	0.977839680860975	1	72
transcript:AT2G45023.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G45245.3	0	1	0	0	0.229714840391629	-1.45149300576055	4.99064283381827	-0.290842894210892	0.771171477849738	0.977839680860975	1	174
transcript:AT2G45245.4	1	2	8	11	5.34004219531546	2.62868737518075	1.55931049576505	1.68580111678849	0.0918341126204925	0.977839680860975	1	10
transcript:AT2G45245.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G45245.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT2G45780.1	2	4	2	2	2.45286948403278	-0.597261970628502	2.03377568143434	-0.293671507669556	0.769008928339736	0.977839680860975	1	167
transcript:AT2G09675.1	27	38	47	50	39.9166124014607	0.54418320062721	0.529219491827636	1.02827505228104	0.303820462873223	0.977839680860975	1	40
transcript:AT2G46192.1	90	73	45	31	60.5644948129072	-1.15049364154116	0.47049707513902	-2.44527267507713	0.0144742663381809	0.691869930965048	1	5
transcript:AT2G09735.1	410	399	203	196	303.18088175103	-1.07066534210421	0.222210408723261	-4.81825018123974	1.44822707553251e-06	0.000346126271052271	0.000545981607475758	1
transcript:AT2G09785.1	478	520	529	567	519.744507792351	0.0874702719294059	0.168751983461727	0.518336259729025	0.60422367837045	0.977839680860975	1	123
transcript:AT3G00980.1	12	2	3	3	5.25715662789881	-1.35521173837318	1.54040685508119	-0.879775193094519	0.378981105782093	0.977839680860975	1	57
transcript:AT3G01005.1	52	32	42	36	40.96629374236	-0.177714023073979	0.558466135915559	-0.318218082789624	0.750319517069816	0.977839680860975	1	160
transcript:AT3G01135.1	70	83	60	72	70.606595415141	-0.260075456557259	0.399303729076148	-0.651322383487339	0.514838402232524	0.977839680860975	1	95
transcript:AT3G02832.1	72	37	30	24	41.7880045905558	-1.09371878032542	0.583619763736138	-1.87402628952076	0.0609268017010409	0.977839680860975	1	8
transcript:AT3G04485.1	41	64	47	45	48.6288738528983	-0.21391681742026	0.485613761036137	-0.440508145740832	0.659569113881094	0.977839680860975	1	142
transcript:AT3G01525.1	49	67	52	70	58.5616739465015	0.0290670724016437	0.440290285828704	0.0660179734534329	0.947363515923789	0.99678481497999	1	223
transcript:AT3G01605.1	12	20	22	21	18.4654643227985	0.405962859692671	0.773150426749464	0.525076163249952	0.599530245853899	0.977839680860975	1	122
transcript:AT3G05152.1	0	0	0	4	0.915278602358128	3.30797793754783	4.02661251017614	0.821528748839834	0.411345155521525	0.977839680860975	1	62.5
transcript:AT3G01615.1	17	19	11	7	13.5508335475914	-1.02851311048866	0.91409844742575	-1.12516667475492	0.260518411919304	0.977839680860975	1	34
transcript:AT3G06125.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G06125.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G06125.1	1	3	6	2	2.9888341954288	1.04179402637023	1.92271385208146	0.541835190526357	0.587932046588354	0.977839680860975	1	114
transcript:AT3G01905.1	43	47	38	32	39.9569340125151	-0.400996158424693	0.533288330038546	-0.751931245890396	0.452092406579462	0.977839680860975	1	76
transcript:AT3G06962.1	4	0	1	0	1.37042266511565	-2.12202082729448	3.2424220149173	-0.654455471105172	0.512818406467898	0.977839680860975	1	94
transcript:AT3G01925.1	12	10	5	9	8.98933923954153	-0.733263532292216	1.10488230417308	-0.663657594589689	0.50690948592307	0.977839680860975	1	93
transcript:AT3G07215.4	1	0	0	0	0.27741241815735	-1.58910229693005	4.98160849620146	-0.318993814576509	0.749731203213618	0.977839680860975	1	158.5
transcript:AT3G07215.3	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G07215.2	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G07215.1	0	0	0	0	0	NA	NA	NA	1	1	1	308.5
transcript:AT3G02075.1	16	20	10	6	13.0135433267499	-1.19045192104993	0.938048694138654	-1.26907262756017	0.204415161891663	0.977839680860975	1	24
transcript:AT3G02115.1	106	89	84	103	95.3236924991009	-0.128018660678142	0.361905349109763	-0.353735198976887	0.723537340978343	0.977839680860975	1	155
transcript:AT3G11415.1	2	7	4	0	3.2059206890011	-1.08242478501476	2.0090870291467	-0.538764508113165	0.59004935618996	0.977839680860975	1	116
transcript:AT3G02475.1	3	6	8	2	4.75434953789089	0.185606559085705	1.54204449596814	0.120363945120258	0.904194851340065	0.977839680860975	1	221
