ago1.1	ago1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:at2g09340	26	64	20	20	30.9925814935506	-0.906665876527091	0.677340153714431	-1.33856803196307	0.180711338996762	0.930806914237344	1	21
transcript:at2g09670	1	4	0	2	1.60635501009671	-1.14698888359347	2.72477971496328	-0.420947380551433	0.673793505967675	0.930806914237344	1	83
transcript:at2g46255	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at2g46685	1	2	3	5	2.78829327144129	1.64384668469886	1.994948051427	0.824004757178015	0.409936854931305	0.930806914237344	1	40
transcript:at2g47015	39	22	26	32	29.5737247445236	0.146671580610762	0.662485820585059	0.221395803582984	0.824784259621576	0.930806914237344	1	127
transcript:at2g47275	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at2g47585	0	0	0	2	0.492423820868588	2.56729526356959	4.90148962959027	0.523778577041323	0.600432555381471	0.930806914237344	1	65.5
transcript:at2g09995	0	0	1	2	0.7864217767661	3.23348835552115	3.94376246934545	0.819899367838404	0.412273477188314	0.930806914237344	1	41
transcript:at3g04765	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g09285	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g10745	0	1	2	2	1.29976540148903	2.25709574349287	3.05413710459091	0.739028951941958	0.45988941713366	0.930806914237344	1	45
transcript:at3g11435	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g13405	2	0	6	17	6.42268724062098	3.68829532869319	1.66513638078667	2.21501095721103	0.026759312446028	0.558122802445728	1	7
transcript:at3g13724	0	0	1	0	0.293997955897512	1.77576746210912	4.98250639573158	0.356400438066751	0.721540701354903	0.930806914237344	1	95
transcript:at3g14385	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g03235	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g03245	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g03255	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g03625	3	0	7	4	3.75247887479913	2.11285661205175	1.909498020852	1.10649845612776	0.268510831885513	0.930806914237344	1	27
transcript:at3g18217	4	15	3	11	7.82670397055682	-0.230883122309064	1.27059665331276	-0.181712364586428	0.855808461988235	0.930806914237344	1	130
transcript:at3g18827	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g18895	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g22886	2	0	4	3	2.38772458274584	2.03148916707549	2.31021363926722	0.879351213474727	0.379210875669581	0.930806914237344	1	36
transcript:at3g23125	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at3g23326	0	2	2	0	1.02668724944585	0.393435342392813	3.54705762752178	0.110918790644992	0.911680744766714	0.930806914237344	1	142.5
transcript:at3g04655	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g26812	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g26813	0	0	0	1	0.246211910434294	1.64642287773349	4.9910476562531	0.329875206795662	0.74149425797412	0.930806914237344	1	106.5
transcript:at3g26815	0	2	2	0	1.02668724944585	0.393435342392813	3.54705762752178	0.110918790644992	0.911680744766714	0.930806914237344	1	142.5
transcript:at3g26816	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g26818	5	4	0	3	2.79876097623682	-1.44142434469356	2.11660749554221	-0.681006916837128	0.495867113778068	0.930806914237344	1	48
transcript:at3g26819	2	0	0	0	0.473097027852911	-2.25211744126968	4.88873572896609	-0.460674817811429	0.645031924586514	0.930806914237344	1	72
transcript:at3g05515	0	0	0	0	0	NA	NA	NA	1	1	1	236
transcript:at3g05985	0	0	0	0	0	NA	NA	NA	1	1	1	236
