Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT2G17295.1	1	0	1	0
transcript:AT2G20721.1	16	8	17	19
transcript:AT2G20722.1	4	7	3	14
transcript:AT2G20723.1	4	11	8	11
transcript:AT2G07605.1	5	4	0	4
transcript:AT2G07615.1	1	0	0	0
transcript:AT2G08370.1	0	0	0	0
transcript:AT2G08375.1	0	0	0	0
transcript:AT2G08390.1	0	0	0	0
transcript:AT2G08580.1	0	2	1	8
transcript:AT2G08585.1	2	5	5	5
transcript:AT2G35382.1	0	0	0	1
transcript:AT2G35384.1	0	0	0	0
transcript:AT2G35387.1	1	0	1	0
transcript:AT2G08725.1	1	0	1	1
transcript:AT2G35742.1	1	4	2	0
transcript:AT2G08755.1	3	2	2	1
transcript:AT2G08760.1	6	1	4	14
transcript:AT2G08765.1	36	19	32	45
transcript:AT2G35744.1	21	32	41	35
transcript:AT2G35747.1	41	24	21	34
transcript:AT2G08770.1	77	56	78	44
transcript:AT2G08860.1	10	17	7	8
transcript:AT2G08900.1	2	1	0	0
transcript:AT2G08905.1	0	0	1	1
transcript:AT2G08910.1	1	0	4	1
transcript:AT2G43137.1	0	0	0	0
transcript:AT2G43138.1	2	1	3	0
transcript:AT2G43139.1	0	2	0	0
transcript:AT2G43141.1	0	0	0	1
transcript:AT2G09460.1	11	9	13	23
transcript:AT2G09465.1	3	18	8	18
transcript:AT2G09680.1	4	1	4	0
transcript:AT2G09685.1	10	6	9	7
transcript:AT2G09690.1	15	12	11	11
transcript:AT2G09695.1	13	9	12	7
transcript:AT2G09700.1	16	12	4	2
transcript:AT2G09705.1	0	0	2	1
transcript:AT2G09815.1	0	0	0	0
transcript:AT3G01313.1	0	0	0	0
transcript:AT3G01316.1	5	1	0	0
transcript:AT3G00985.1	1	5	1	2
transcript:AT3G01145.1	1	6	8	4
transcript:AT3G01155.1	12	13	11	8
transcript:AT3G02045.1	5	6	12	13
transcript:AT3G02205.1	37	22	19	10
transcript:AT3G02385.1	0	0	1	0
transcript:AT3G02435.1	10	8	7	8
transcript:AT3G02445.1	17	5	5	7
