Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G05193.1	0	0	0	0
transcript:AT1G05197.1	0	0	0	0
transcript:AT1G05203.1	71	67	45	57
transcript:AT1G05207.1	573	817	782	640
transcript:AT1G05213.1	1273	1119	463	509
transcript:AT1G05217.1	0	0	0	0
transcript:AT1G05223.1	0	0	0	0
transcript:AT1G05227.1	0	2	2	1
transcript:AT1G16489.1	0	0	0	0
transcript:AT1G16489.2	0	0	0	0
transcript:AT1G16489.3	0	0	0	0
transcript:AT1G16489.4	0	0	0	0
transcript:AT1G05233.1	0	0	0	0
transcript:AT1G05237.1	0	0	0	0
transcript:AT1G05243.1	38	28	22	27
transcript:AT1G05253.1	305	282	366	483
transcript:AT1G05263.1	0	0	0	0
transcript:AT1G05267.1	21	28	11	18
transcript:AT1G05277.1	170	135	103	125
transcript:AT1G05283.1	13	15	0	6
transcript:AT1G05287.1	62	36	56	63
transcript:AT1G05293.1	52	25	21	36
transcript:AT1G05297.1	14	6	6	10
transcript:AT1G17232.1	87	94	90	96
transcript:AT1G17232.2	0	0	0	0
transcript:AT1G17255.1	0	0	0	0
transcript:AT1G17255.2	0	0	0	4
transcript:AT1G05303.1	11	10	7	5
transcript:AT1G05307.1	0	0	0	0
transcript:AT1G05313.1	0	0	0	0
transcript:AT1G05317.1	177	141	17	18
transcript:AT1G05323.1	0	0	0	0
transcript:AT1G05327.1	11	11	9	9
transcript:AT1G05333.1	2	1	6	2
transcript:AT1G05333.2	607	491	245	295
transcript:AT1G05337.1	64	45	53	73
transcript:AT1G05343.1	14	24	12	17
transcript:AT1G05347.1	2562	2201	721	882
transcript:AT1G05357.1	0	3	2	3
transcript:AT1G05363.1	16	3	15	8
transcript:AT1G05367.1	0	0	0	0
transcript:AT1G05373.1	0	0	0	0
transcript:AT1G05377.1	0	0	0	0
transcript:AT1G05383.1	7	3	0	0
transcript:AT1G05387.1	0	0	0	0
transcript:AT1G05397.1	6	12	4	4
transcript:AT1G18382.1	218	136	115	91
transcript:AT1G18415.2	0	0	0	0
transcript:AT1G18415.1	0	0	0	0
transcript:AT1G05407.1	0	0	0	0
transcript:AT1G05413.1	0	0	0	0
transcript:AT1G18735.1	391	492	615	730
transcript:AT1G05443.1	2	0	2	0
transcript:AT1G05447.1	6	6	7	2
transcript:AT1G05453.1	277	229	138	150
transcript:AT1G05467.1	100	114	56	83
transcript:AT1G05473.1	0	0	0	0
transcript:AT1G05477.1	0	0	0	0
transcript:AT1G05483.1	0	0	0	0
transcript:AT1G05487.1	4	1	0	0
transcript:AT1G05493.1	8	18	3	5
transcript:AT1G05497.1	0	0	0	0
transcript:AT1G05507.1	0	0	0	0
transcript:AT1G05517.1	2	2	0	1
transcript:AT1G05523.1	19	54	50	50
transcript:AT1G05527.1	0	0	0	0
transcript:AT1G05533.1	0	0	0	2
transcript:AT1G05537.1	0	0	0	0
transcript:AT1G05543.1	0	0	0	0
transcript:AT1G05553.1	66	71	51	71
transcript:AT1G05557.1	30	16	38	41
transcript:AT1G20515.1	0	0	0	0
transcript:AT1G20515.2	0	0	0	0
transcript:AT1G20515.3	0	0	0	0
transcript:AT1G20691.1	0	0	0	0
transcript:AT1G20691.2	0	0	0	0
transcript:AT1G05567.1	0	2	3	0
transcript:AT1G05583.1	0	0	1	0
transcript:AT1G05587.1	0	0	0	0
transcript:AT1G05593.1	0	0	0	0
transcript:AT1G05597.1	0	0	0	0
transcript:AT1G05603.1	1	0	0	0
transcript:AT1G05607.1	13	9	13	25
transcript:AT1G05613.1	2	0	0	0
transcript:AT1G05617.1	0	0	0	0
transcript:AT1G05623.1	1	0	0	0
transcript:AT1G05633.1	0	0	0	0
transcript:AT1G05643.1	0	0	0	0
transcript:AT1G05647.1	0	0	0	0
transcript:AT1G05653.1	0	0	0	0
transcript:AT1G05657.1	0	0	0	0
transcript:AT1G05663.1	0	0	0	0
transcript:AT1G05667.1	0	0	0	0
transcript:AT1G05683.1	0	0	0	0
transcript:AT1G05687.1	214	231	145	200
transcript:AT1G05693.1	0	0	0	0
transcript:AT1G05703.1	16	9	21	23
transcript:AT1G05707.1	33	12	17	12
transcript:AT1G05713.1	0	0	0	0
transcript:AT1G05717.1	0	0	2	0
transcript:AT1G05723.1	14	5	2	3
transcript:AT1G05727.1	22	18	4	6
