Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT2G07752.1	0	0	0	0
transcript:AT2G07753.1	1	0	0	0
transcript:AT2G07754.1	9	2	5	10
transcript:AT2G07755.1	0	0	0	0
transcript:AT2G07792.1	8	3	1	4
transcript:AT2G07793.1	0	0	0	0
transcript:AT2G07794.1	0	0	0	0
transcript:AT2G05315.1	2	1	4	2
transcript:AT2G07756.1	1	0	0	2
transcript:AT2G07757.1	0	2	0	0
transcript:AT2G07758.1	5	2	2	2
transcript:AT2G05355.1	0	0	0	0
transcript:AT2G07759.1	7	8	3	2
transcript:AT2G07761.1	0	0	1	1
transcript:AT2G07762.1	1	0	0	1
transcript:AT2G07763.1	3	4	1	1
transcript:AT2G07764.1	2	0	1	0
transcript:AT2G07765.1	3	1	6	2
transcript:AT2G07766.1	3	0	0	0
transcript:AT2G15950.1	0	0	0	0
transcript:AT2G16240.1	0	0	0	0
transcript:AT2G17810.1	1	1	0	0
transcript:AT2G18310.1	0	0	0	0
transcript:AT2G21360.1	0	0	0	0
transcript:AT2G21570.1	0	0	0	0
transcript:AT2G21670.1	0	0	0	0
transcript:AT2G21700.1	0	0	0	0
transcript:AT2G22110.1	0	0	0	0
transcript:AT2G22220.1	0	0	0	0
transcript:AT2G22280.1	0	0	0	0
transcript:AT2G22380.1	2	0	0	0
transcript:AT2G22580.1	0	0	0	0
transcript:AT2G23020.1	0	0	0	0
transcript:AT2G23650.1	0	0	0	0
transcript:AT2G24380.1	0	0	0	0
transcript:AT2G25400.1	0	0	0	0
transcript:AT2G26090.1	0	0	0	0
transcript:AT2G27560.1	0	0	0	0
transcript:AT2G27850.1	0	0	0	0
transcript:AT2G28730.1	0	0	0	0
transcript:AT2G28770.1	0	0	0	0
transcript:AT2G29030.1	0	0	0	0
transcript:AT2G29520.1	0	0	0	0
transcript:AT2G30180.1	0	0	0	0
transcript:AT2G30190.1	0	0	0	0
transcript:AT2G30450.1	0	0	0	0
transcript:AT2G30850.1	0	0	0	0
transcript:AT2G32110.1	0	0	0	0
transcript:AT2G33140.1	0	0	0	0
transcript:AT2G33650.1	0	0	0	0
transcript:AT2G33660.1	0	0	0	0
transcript:AT2G33890.1	0	0	0	0
transcript:AT2G33900.1	0	0	0	2
transcript:AT2G33910.1	0	0	0	0
transcript:AT2G33920.1	0	0	0	0
transcript:AT2G33930.1	1	0	0	0
transcript:AT2G33940.1	0	0	0	0
transcript:AT2G33950.1	0	0	0	0
transcript:AT2G33960.1	0	0	0	0
transcript:AT2G33970.1	0	0	0	0
transcript:AT2G34950.1	0	0	0	0
transcript:AT2G34985.1	0	0	0	0
transcript:AT2G35220.1	0	0	0	0
transcript:AT2G36140.1	0	0	0	0
transcript:AT2G36150.1	0	0	1	0
transcript:AT2G36280.1	0	0	0	0
transcript:AT2G36510.1	0	0	0	0
transcript:AT2G36520.1	0	0	0	0
transcript:AT2G36600.1	0	0	0	0
transcript:AT2G36860.1	0	0	0	0
transcript:AT2G38030.1	0	0	0	0
transcript:AT2G39600.1	0	0	0	0
transcript:AT2G39610.1	0	0	0	0
transcript:AT2G39860.1	0	2	0	0
transcript:AT2G42020.1	0	0	0	0
transcript:AT2G42420.1	0	0	0	0
transcript:AT2G42970.1	0	0	0	0
transcript:AT2G43300.1	0	0	0	0
transcript:AT2G44320.1	0	0	0	0
transcript:AT2G45020.1	0	0	0	0
transcript:AT2G45390.1	0	0	0	0
transcript:AT2G46120.1	0	0	0	0
transcript:AT2G47100.1	0	0	0	0
transcript:AT2G47740.1	0	0	0	0
transcript:AT3G01705.1	0	2	0	0
transcript:AT3G02315.1	0	1	0	0
transcript:AT3G02335.1	1	0	0	0
transcript:AT3G02715.1	0	0	0	0
transcript:AT3G03845.1	0	0	0	0
transcript:AT3G03852.1	0	0	0	0
transcript:AT3G04525.1	0	0	0	0
transcript:AT3G05525.1	0	1	0	1
transcript:AT3G05755.1	0	1	0	0
transcript:AT3G05835.1	0	0	0	0
transcript:AT3G06105.1	0	0	0	0
transcript:AT3G06335.1	0	0	0	1
transcript:AT3G06665.1	0	0	0	0
transcript:AT3G07025.1	0	0	0	0
transcript:AT3G07055.1	0	0	0	0
transcript:AT3G07115.1	0	0	0	0
transcript:AT3G07185.1	0	0	0	0
transcript:AT3G09505.1	0	0	0	0
transcript:AT3G09585.1	0	0	0	0
transcript:AT3G09595.1	0	0	0	0
transcript:AT3G10015.1	0	0	0	0
transcript:AT3G10035.1	0	0	0	0
transcript:AT3G10415.1	0	0	0	0
transcript:AT3G11285.1	0	0	0	0
transcript:AT3G11395.1	0	0	0	1
transcript:AT3G11505.1	0	0	0	0
transcript:AT3G12385.1	0	0	0	0
transcript:AT3G12585.1	0	2	0	1
transcript:AT3G13223.1	0	0	0	0
transcript:AT3G13335.1	0	0	0	0
transcript:AT3G14855.1	1	0	0	0
transcript:AT3G15055.1	0	0	0	0
transcript:AT3G15585.1	0	0	1	0
transcript:AT3G16552.1	0	0	0	0
transcript:AT3G18815.1	0	0	0	0
transcript:AT3G18952.1	0	0	0	0
transcript:AT3G19235.1	0	0	0	0
transcript:AT3G20655.1	0	0	0	0
transcript:AT3G20885.1	0	0	0	0
transcript:AT3G21475.1	0	0	0	0
transcript:AT3G25715.1	0	0	0	0
transcript:AT3G26747.1	0	0	0	0
transcript:AT3G27555.1	0	0	0	0
transcript:AT3G27825.1	0	0	0	1
transcript:AT3G27845.1	0	0	0	0
transcript:AT3G28685.1	0	0	0	0
transcript:AT3G28695.1	0	0	0	0
transcript:AT3G29095.1	0	0	0	0
transcript:AT3G30345.1	0	0	0	0
transcript:AT3G44955.1	0	0	0	0
transcript:AT3G45935.1	0	0	0	0
transcript:AT3G45955.1	0	0	0	0
transcript:AT3G45965.1	0	0	0	0
transcript:AT3G46585.1	0	0	0	0
transcript:AT3G46875.1	0	0	0	0
transcript:AT3G48275.1	0	0	0	0
