Geneid	WT_AGO1-1	WT_AGO1-2	deltaN-1	deltaN-2
transcript:at5g06105	0	0	0	0
transcript:at5g06175	0	0	0	0
transcript:at5g41663	1	0	1	1
transcript:at5g41905	3	2	1	0
transcript:at5g43603	0	1	0	0
transcript:at5g06605	2	3	0	0
transcript:at5g45307	0	0	0	0
transcript:at5g46845	2	5	8	0
transcript:at5g07055	0	0	0	0
transcript:at5g07065	0	0	0	0
transcript:at5g07075	0	0	0	0
transcript:at5g07655	0	0	0	0
transcript:at5g50717	0	0	0	0
transcript:at5g07875	0	0	0	0
transcript:at5g52797	0	0	0	0
transcript:at5g07965	21	17	15	28
transcript:at5g08255	1	1	1	1
transcript:at5g55835	0	0	0	0
transcript:at5g08800	0	0	0	0
transcript:at5g58465	0	0	0	0
transcript:at5g59505	0	0	0	0
transcript:at5g08925	0	0	0	0
transcript:at5g60408	0	0	0	0
transcript:at5g62162	0	0	0	0
transcript:at5g62848	0	0	0	0
transcript:at5g63715	0	0	0	0
transcript:at5g66045	0	4	1	0
